,id,name,brand,base_name,screen_size,pixels_x,pixels_y,screen_surface,touchscreen,cpu,cpu_details,detachable_keyboard,discrete_gpu,gpu,os,os_details,ram,ssd,storage,weight,min_price,max_price
174,30511,"Dell Inspiron 15 5593: 10th Gen Core i5-1035G1, 256GB SSD, 8GB RAM, 15.6"" Full HD Display, Backlit Keyboard, Windows 10",Dell,Dell Inspiron 5593,15.6,1920,1080,Matte,0,Intel Core i5,Intel Core i5-1035G1 1.0 GHz (10th gen Ice Lake Quad-Core with Hyper-Threading),0.0,0,Intel UHD,Windows,Windows 10 Home,8,256,256,4.52,546.49,609.0
231,22136,"ASUS ROG Zephyrus GX501 Ultra Slim Gaming Laptop, 15.6â€ FHD 144Hz 3ms IPS-Type G-SYNC, GeForce GTX 1080, Intel Core i7-8750H, 16GB DDR4, 512GB PCIe SSD, Win 10 Pro, GX501GI-XS74",Asus,Asus ROG Zephyrus GX501,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-8750H 2.2 GHz (8th gen Coffee Lake Hexa-Core with Hyper-Threading),0.0,1,NVIDIA GeForce GTX 1080,Windows,Windows 10 Pro,16,512,512,5.0,1479.0,1489.0
439,26958,"Apple MacBook Air MJVE2LL/A 13-inch Laptop 1.6GHz Core i5, 8GB RAM, 128GB SSD (Renewed)",Apple,Apple MacBook Air 2015,13.3,1440,900,Glossy,0,Intel Core i5,Intel Core i5-5250U 1.6 GHz (5th gen Broadwell Dual-Core with Hyper-Threading),0.0,0,Intel HD 6000,macOS,OS X El Capitan,8,128,128,2.96,479.0,490.78
262,8282,"ASUS ZenBook UX305CA-EHM1 Laptop (Windows 10, Intel Core M3-6Y30, 13.3"" LED-lit Screen, Storage: 256 GB, RAM: 8 GB) Obsidian Stone (Aluminum)",Asus,Asus ZenBook UX305CA-EHM1,13.3,1920,1080,Matte,0,Intel Core m3,Intel Core m3-6Y30 0.9 GHz (6th gen Skylake Dual-Core with Hyper-Threading),0.0,0,Intel HD,Windows,Windows 10,8,256,256,2.65,899.99,999.11
307,29844,"Lenovo 100E Chromebook 2ND Gen Laptop, 11.6"" HD (1366 X 768) Display, MediaTek MT8173C Processor, 4GB LPDDR3 RAM, 16GB eMMC TLC SSD, Powervr GX6250, Chrome OS, 81QB000AUS, Black",Lenovo,Lenovo 100e Chromebook (2nd Generation),11.6,1366,768,Matte,0,MediaTek,MediaTek MT8173C 2.1 GHz (Quad-Core),0.0,0,Imagination PowerVR GX6250,Chrome OS,Chrome OS,4,16,16,2.68,119.98,125.9
471,9935,"HP Pavilion 15-BA079DX - 15.6"" HD Touch - AMD A10-9600P - Radeon R5 - 6GB RAM - 1TB HDD - Windows 10 - Black",HP,HP Pavilion 15-BA079DX,15.6,1366,768,Glossy,1,AMD A10,AMD A10-9600P 2.4 GHz (7th gen Bristol Ridge Quad-Core),0.0,0,AMD Radeon R5,Windows,Windows 10,6,0,1000,4.72,421.99,435.82
248,15630,"Dell Inspiron Gaming Laptop - 15.6"" Full HD, Core i7- 7700HQ, 8 GB RAM, 1000 GB HDD + 128GB SSD, GTX 1050, Metal Chassis - i5577-7359BLK-PUS",Dell,Dell Inspiron i5577-7359,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-7700HQ 2.8 GHz (7th gen Kaby Lake Quad-Core with Hyper-Threading),0.0,1,NVIDIA GeForce GTX 1050,Windows,Windows 10,8,128,1128,5.66,999.0,1129.0
92,28981,HP 15-bs234wm Intel Pentium N5000 Quad Core 4GB 500GB 15.6-inch Windows 10 Laptop (Renewed),HP,HP 15-bs234wm,15.6,1366,768,Glossy,1,Intel Pentium,Intel Pentium Silver N5000 1.1 GHz (Gemini Lake Quad-Core),0.0,0,Intel UHD 605,Windows,Windows 10 Home,4,0,500,4.49,242.99,249.28
68,19613,"Lenovo Yoga 710-15 - 15.6"" FHD Touch-Screen - 7th Gen Core i5-7200U - 8GB Ram - 256GB SSD - Black",Lenovo,Lenovo Yoga 710,15.6,1920,1080,Glossy,1,Intel Core i5,Intel Core i5-7200U 2.5 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),0.0,0,Intel HD 620,Windows,Windows 10 Home,8,256,256,4.45,499.99,540.0
297,28982,"Dell Inspiron 15 5000, 2019 Flagship 15.6Â FHD TouchscreenÂ Laptop, Intel 4-Core i5-8265U, 12G RAM, 16GB Optane Memory, 1TB HDD, BT4.1 Backlit Keyboard Fingerprint Reader MaxxAudioÂ Win 10",Dell,Dell Inspiron 5584,15.6,1920,1080,Glossy,1,Intel Core i5,Intel Core i5-8265U 1.6 GHz (8th gen Whiskey Lake Quad-Core with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Home,12,0,1000,4.3,596.0,619.0
